name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,icon
ILLINOIS,2/4/70,35,6.2,22.3,49.6,,0,0,,,,,27.7,188.1,1016.7,83.8,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/5/70,44.9,24.2,35.3,58.4,,0,0,,,,,13.9,198.7,1026,27.5,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/6/70,41.1,30.8,33.8,80.6,,0,0,,,,,17.2,154.5,1030.5,67.5,6,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/7/70,41.1,32.1,36.2,86.2,,0,0,,,,,15,132.3,1023.9,100,3,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/8/70,37.1,30.8,33.9,91,,0,0,,,,,16.1,295.6,1019.1,100,3.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/9/70,30.8,24.2,28.6,87.3,,0,0,,,,,20.8,329.8,1020.3,97.5,6,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/10/70,38.9,15.2,27.5,81.3,,0,0,,,,,19.7,276.6,1016.4,92.5,7.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/11/70,32.1,28.1,29.7,80,,0,0,,,,,19.7,309.9,1019,100,8.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/12/70,29.9,19.1,24.6,77,,0,0,,,,,23,265.6,1020.5,47.5,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/13/70,25.1,12.8,18.5,70.9,,0,0,,,,,20.8,16.3,1023.4,80,13.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/14/70,21.8,12.8,17.5,85.4,,0,0,,,,,16.1,46.8,1020.4,100,6.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/15/70,28.1,20,23.5,77.1,,0,0,,,,,16.1,344.5,1021.8,97.5,8.6,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/16/70,29,12.8,22.1,76.1,,0,0,,,,,11.6,147.9,1026,18.8,7.8,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/17/70,47,24.2,34.3,71.8,,0,0,,,,,23,169.3,1013.8,26.3,8,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/18/70,52.1,26.9,39.5,82.8,,0,0,,,,,25.3,225.3,1004.7,37.5,7.2,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,2/19/70,28.1,16.1,22.4,72.5,,0,0,,,,,20.8,287.8,1024.5,32.5,12.3,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/20/70,26,8.9,18,65.1,,0,0,,,,,18.3,276.7,1036,10,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/21/70,53,23.1,36,63.9,,0,0,,,,,15,223.7,1031.5,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/22/70,50.1,35.9,42.1,66.8,,0,0,,,,,21.9,243.8,1024.3,58.8,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/23/70,47,26.9,35.9,69.5,,0,0,,,,,10.3,344.8,1028.9,1.3,14.5,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/24/70,46.1,28.1,38,81.4,,0,0,,,,,15,236.7,1019.3,73.8,9.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/25/70,33.2,17.9,24.6,65.3,,0,0,,,,,27.7,341.3,1023.5,48.8,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/26/70,44.9,16.1,29.9,62.6,,0,0,,,,,24.2,212.4,1014.7,28.8,14.9,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,2/27/70,43.1,29,35.5,63.3,,0,0,,,,,18.3,298.7,1018.9,31.3,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/28/70,44.9,28.1,36.1,60.1,,0,0,,,,,17.2,80.8,1026.6,85,12.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/1/70,53,38.9,46.2,77.4,,0,0,,,,,13.9,143.7,1020.7,100,6.8,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/2/70,59.1,47.9,53.3,92.2,,0,0,,,,,16.1,141.2,1016.9,96.3,3.4,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/3/70,62,56,58.7,87.3,,0,0,,,,,19.7,157.5,1007.9,98.8,10.4,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/4/70,53.9,35.9,42.1,81.9,,0,0,,,,,17.2,324.3,1011.2,77.5,8.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/5/70,52.1,29,39.6,64.6,,0,0,,,,,15,46.9,1019.8,0,14.3,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,3/6/70,56,33.2,43.6,65.6,,0,0,,,,,13.9,232.2,1020.3,62.5,12.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/7/70,57.8,28.1,42,75.1,,0,0,,,,,18.3,242.7,1016.7,11.3,8.4,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,3/8/70,66.8,33.2,46,69.4,,0,0,,,,,17.2,126.2,1008.9,12.5,10.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,3/9/70,37.1,29,33.2,74.6,,0,0,,,,,23,34.8,1009.9,72.5,11.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/10/70,32.1,28.1,30,79.7,,0,0,,,,,21.9,34.3,1014.6,100,8.9,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/11/70,35.9,26.9,31,69.2,,0,0,,,,,17.2,40.5,1020.4,100,13.7,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/12/70,38.9,28.1,33.4,63.8,,0,0,,,,,24.2,11.6,1017.9,100,13,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/13/70,35.9,23.1,29.2,60.6,,0,0,,,,,25.3,312.5,1019.5,43.8,13.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/14/70,30.8,25.1,28,60.7,,0,0,,,,,19.7,288.6,1017.8,88.8,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/15/70,35,20,27,51.6,,0,0,,,,,20.8,317.4,1021.5,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,3/16/70,39.8,16.1,29.1,55,,0,0,,,,,8.1,219.3,1029.1,53.8,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/17/70,33.2,30.8,31.9,82.4,,0,0,,,,,17.2,85.8,1022.6,100,5.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/18/70,35.9,32.1,33.9,90,,0,0,,,,,13.9,38.5,1021.8,100,2.8,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/19/70,42.2,34.1,38,92.9,,0,0,,,,,13.9,102.5,1020.8,100,1.9,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/20/70,39.8,32.1,35.8,82.1,,0,0,,,,,20.8,253.5,1016.1,78.8,8,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/21/70,46.1,28.1,37.4,75,,0,0,,,,,12.8,298.9,1016.3,55,10,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/22/70,53,37.1,43.6,62.9,,0,0,,,,,20.8,284.8,1010.4,86.3,13.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/23/70,38.9,32.1,35.5,83.7,,0,0,,,,,23,279.2,1010.5,98.8,8.8,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/24/70,48.8,32.1,38.7,76,,0,0,,,,,10.3,274,1009.5,86.3,8.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/25/70,41.1,34.1,38.3,85.5,,0,0,,,,,26.4,51.2,1003.7,98.8,7.3,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/26/70,42.2,33.2,36.3,83.1,,0,0,,,,,25.3,307.4,1009,63.8,8.8,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/27/70,47.9,26.9,37.7,67.5,,0,0,,,,,12.8,237.7,1021.6,68.8,13.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/28/70,35.9,24.2,29.9,75,,0,0,,,,,19.7,7.9,1022.6,98.8,11.3,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,3/29/70,41.1,21.8,31.2,61.4,,0,0,,,,,17.2,46.2,1019.1,48.8,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/30/70,48.8,26.9,37.7,69.7,,0,0,,,,,10.3,65.8,1017.4,66.3,12.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,3/31/70,48.8,34.1,40.4,69.1,,0,0,,,,,13.9,50.5,1020.6,90,8.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/1/70,38.9,35,37.1,92.4,,0,0,,,,,19.7,47.6,1008.6,100,3.2,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/2/70,43.1,32.1,36.7,79,,0,0,,,,,24.2,298.4,1005.6,51.3,8.9,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
ILLINOIS,4/3/70,47.9,32.1,39,78.7,,0,0,,,,,16.1,288.3,1018.7,48.8,12,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/4/70,46.1,33.2,38.9,67.3,,0,0,,,,,18.3,343.3,1024.3,70,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/5/70,55.1,29.9,42.5,62.4,,0,0,,,,,18.3,177.1,1017.3,36.3,13.7,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,4/6/70,56,41.1,48,65.3,,0,0,,,,,24.2,294.5,1012.1,28.8,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/7/70,64.1,38,50.4,60.8,,0,0,,,,,17.2,153.8,1021.4,0,14.5,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,4/8/70,77.1,47.9,59.4,49.1,,0,0,,,,,24.2,216,1014.2,58.8,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/9/70,65,38,52.5,43.7,,0,0,,,,,30,277.2,1017.9,12.5,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,4/10/70,64.1,37.1,51.5,44.5,,0,0,,,,,11.6,43.3,1016.7,15,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,4/11/70,80,44.9,59.1,48.6,,0,0,,,,,24.2,126.9,1008.7,87.5,11.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/12/70,66.8,44.9,57.6,66.3,,0,0,,,,,17.2,128.4,1004.7,76.3,9.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/13/70,52.1,44,47.2,83.7,,0,0,,,,,18.3,232.1,1004.6,97.5,12.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/14/70,51.2,42.2,46,83.4,,0,0,,,,,18.3,310.6,1015.4,100,5.8,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/15/70,65,38,52.2,77.3,,0,0,,,,,18.3,129.2,1017.9,63.8,5.2,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/16/70,71,52.1,61.4,71.2,,0,0,,,,,8.1,128.5,1017.9,67.5,5.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/17/70,66.8,52.1,58.7,58.7,,0,0,,,,,18.3,354.8,1021.3,50,12,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
ILLINOIS,4/18/70,51.2,47,49.2,76.7,,0,0,,,,,25.3,69.5,1016.6,96.3,9.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/19/70,64.1,47.9,54.9,91.2,,0,0,,,,,28.9,171.6,996,100,6.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/20/70,56,43.1,49.7,71.7,,0,0,,,,,23,244.4,998.4,72.5,13.8,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/21/70,60.2,41.1,50.1,67,,0,0,,,,,26.4,241,1012.9,30,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/22/70,77.1,52.1,65.1,66.3,,0,0,,,,,31.1,153.1,1010.7,56.3,12.7,,,,Partially cloudy,Partly cloudy throughout the day.,wind
ILLINOIS,4/23/70,60.2,43.1,50.8,68.3,,0,0,,,,,27.7,338.6,1017.7,68.8,13,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/24/70,68.1,47.9,57.4,70.1,,0,0,,,,,18.3,292.1,1015,25,10.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/25/70,71,53,61.9,68.6,,0,0,,,,,19.7,167.2,1013.6,47.5,13.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/26/70,73.1,56.9,64.8,82.6,,0,0,,,,,15,162.3,1010.6,58.8,10.3,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/27/70,74.9,62,67.5,81.8,,0,0,,,,,20.8,139.7,1006.1,52.5,9.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/28/70,84.8,68.1,76,76.1,,0,0,,,,,18.3,180.6,1004.2,55,6.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,4/29/70,84.8,71,76.9,81.5,,0,0,,,,,19.7,179,1008.8,92.5,4.6,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,4/30/70,70.1,62.9,66.5,91.6,,0,0,,,,,13.9,175.3,1010.8,100,6.8,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,5/1/70,68.1,48.8,58.5,76.3,,0,0,,,,,31.1,241.3,1014.7,97.5,13.9,,,,Overcast,Cloudy skies throughout the day.,wind
ILLINOIS,5/2/70,55.1,39.8,47.1,67.7,,0,0,,,,,15,287.6,1025.2,5,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,5/3/70,70.1,41.1,56.2,66.5,,0,0,,,,,15,196.2,1022.6,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
